subject,modeldate,party,approve_estimate,disapprove_estimate,timestamp
Biden,4/9/2022,I,44.53869,47.498783,15:54:12 10 Apr 2022
Trump,10/25/2021,D,9.4143635,87.934516,15:40:14 25 Oct 2021
Trump,4/8/2020,all,47.622709,47.833119,22:10:05  8 Apr 2020
Biden,2/24/2022,R,16.975954,79.268411,21:47:15 24 Feb 2022
Biden,8/14/2021,all,55.025746,37.643814,08:16:17 18 Aug 2021
Trump,2/20/2022,all,38.940859,57.001143,08:46:25 22 Feb 2022
Biden,5/27/2022,R,20.104094,75.031262,12:48:10 27 May 2022
Trump,12/5/2021,R,76.792488,19.971529,02:56:45  6 Dec 2021
Trump,7/31/2021,I,35.912502,57.484054,10:10:42  2 Aug 2021
Biden,12/2/2021,R,15.126387,80.792171,09:22:14  2 Dec 2021
Trump,9/20/2020,all,40.032717,55.986788,09:05:17 20 Sep 2020
Trump,7/1/2020,D,10.37868,87.807223,20:20:08  1 Jul 2020
Trump,10/4/2020,all,40.502085,56.591676,18:55:17  4 Oct 2020
Biden,11/6/2021,R,17.610222,76.931206,09:10:42  8 Nov 2021
Trump,2/24/2022,D,9.4143635,87.934516,21:47:10 24 Feb 2022
Biden,5/16/2021,D,91.719586,6.3132651,08:55:08 17 May 2021
Trump,2/23/2022,all,38.940859,57.001143,22:05:42 23 Feb 2022
Trump,7/26/2020,all,37.837342,58.624948,09:40:20 26 Jul 2020
Biden,8/27/2021,R,19.307904,76.837625,08:05:53 30 Aug 2021
Trump,8/18/2020,all,38.923331,57.893441,19:50:21 18 Aug 2020
Trump,7/15/2021,I,35.912502,57.484054,08:01:01 20 Jul 2021
Biden,4/22/2021,I,59.427871,33.106491,13:22:33 22 Apr 2021
Biden,10/2/2021,R,19.3641,76.025039,10:30:45  4 Oct 2021
Trump,10/2/2020,I,34.994328,60.054925,18:35:11  2 Oct 2020
Trump,1/30/2022,all,38.940859,57.001143,12:05:23 30 Jan 2022
Trump,11/18/2020,I,34.427032,59.70147,18:50:16 18 Nov 2020
Trump,6/3/2020,I,38.167301,56.372599,17:30:09  3 Jun 2020
Trump,8/1/2020,D,8.7447818,89.338418,06:35:16  4 Aug 2020
Biden,7/3/2021,I,58.379014,34.111856,12:55:15  4 Jul 2021
Trump,8/17/2021,R,76.792488,19.971529,08:16:00 18 Aug 2021
Biden,3/28/2021,all,60.934385,33.132131,14:35:18 28 Mar 2021
Biden,5/29/2022,D,81.995171,14.21412,00:06:21 31 May 2022
Trump,2/23/2020,D,23.08517,48.37065,17:45:11  2 Apr 2020
Biden,6/20/2022,R,19.071139,75.38865,20:31:19 21 Jun 2022
Trump,8/20/2020,D,8.2400806,90.154359,13:00:10 20 Aug 2020
Trump,10/19/2020,all,39.634628,57.522551,18:55:19 19 Oct 2020
Trump,11/23/2021,all,38.940859,57.001143,07:37:40 24 Nov 2021
Biden,10/22/2021,R,18.969747,76.497621,15:40:47 25 Oct 2021
Biden,10/27/2021,D,85.559381,10.727987,09:30:08 27 Oct 2021
Trump,5/30/2020,R,82.385259,15.163867,19:15:08 30 May 2020
Trump,3/21/2021,I,35.865281,57.707884,09:45:27 22 Mar 2021
Trump,9/21/2020,D,8.2814974,89.535724,20:55:08 21 Sep 2020
Trump,1/12/2021,D,10.096964,86.493257,08:55:14 13 Jan 2021
Trump,6/17/2021,all,38.942568,57.005674,21:00:29 17 Jun 2021
Biden,4/16/2022,I,43.535204,47.982353,09:02:21 20 Apr 2022
Biden,12/7/2021,all,47.267603,44.719334,04:41:29  8 Dec 2021
Trump,2/15/2022,R,76.792488,19.971529,08:59:17 15 Feb 2022
Trump,5/13/2020,I,39.486338,53.774355,17:10:06 13 May 2020
Trump,1/19/2021,I,36.033346,57.873849,09:50:16 19 Jan 2021
Trump,6/27/2020,all,40.854762,55.761541,10:40:17 28 Jun 2020
Biden,2/16/2021,I,49.203801,33.035656,09:45:12 16 Feb 2021
Trump,6/17/2021,D,9.4143635,87.934516,21:00:12 17 Jun 2021
Trump,1/22/2021,R,76.12318,20.32731,11:11:03  8 Feb 2021
Biden,5/20/2021,I,59.589215,33.057982,12:15:15 21 May 2021
Trump,2/10/2021,all,38.27279,57.86994,14:13:51 10 Feb 2021
Trump,6/22/2021,I,35.912502,57.484054,08:35:14 22 Jun 2021
Biden,9/13/2021,R,19.475014,76.022097,14:55:52 14 Sep 2021
Trump,2/5/2021,D,8.812404,88.85838,11:08:20  8 Feb 2021
Trump,12/9/2021,D,9.4143635,87.934516,12:57:10  9 Dec 2021
Trump,7/16/2021,all,38.942568,57.005674,08:02:00 20 Jul 2021
Trump,7/11/2021,I,35.912502,57.484054,20:55:34 12 Jul 2021
Biden,5/19/2021,all,62.965776,31.530834,21:05:18 19 May 2021
Trump,7/17/2020,all,38.089274,58.060327,18:50:13 17 Jul 2020
Biden,4/28/2022,R,19.953934,76.454906,09:32:09 28 Apr 2022
Trump,12/6/2020,all,39.745522,57.181734,18:10:47  7 Dec 2020
Biden,3/4/2021,R,26.376563,65.616745,09:00:16  4 Mar 2021
Trump,8/6/2020,R,77.381738,19.727434,20:50:12  6 Aug 2020
Trump,6/15/2021,I,35.912502,57.484054,08:45:39 16 Jun 2021
Trump,8/15/2021,R,76.792488,19.971529,08:16:09 18 Aug 2021
Trump,7/13/2020,D,10.017514,88.373355,16:45:08 13 Jul 2020
